"No","CodeFigure_OriginatingCentres","Name_OriginatingCentres_en","CodeFigure_SubCentres","Name_SubCentres_en","Status"
1.00,,,"0","No sub-centre","Operational"
2.00,,"REGION I",,,"Operational"
3.00,,,,,"Operational"
4.00,,"REGION II",,,"Operational"
5.00,"34","Tokyo (RSMC), Japan Meteorological Agency","207","Syowa","Operational"
6.00,"34","Tokyo (RSMC), Japan Meteorological Agency","240","Kiyose","Operational"
7.00,"34","Tokyo (RSMC), Japan Meteorological Agency","241","Reanalysis project","Operational"
8.00,"39","Beijing (RSMC)","225","Beijing","Operational"
9.00,"39","Beijing (RSMC)","226","Guangzhou","Operational"
10.00,"39","Beijing (RSMC)","228","Urumuqi","Operational"
11.00,"40","Seoul","243","Seoul","Operational"
12.00,"40","Seoul","245","Jincheon","Operational"
13.00,"110","Hong-Kong, China","229","Hong-Kong","Operational"
14.00,,"REGION III",,,"Operational"
15.00,"46","Brazilian Space Agency - INPE","10","Cachoeira Paulista (INPE)","Operational"
16.00,"46","Brazilian Space Agency - INPE","11","Cuiaba (INPE)","Operational"
17.00,"46","Brazilian Space Agency - INPE","12","Brasilia (INMET)","Operational"
18.00,"46","Brazilian Space Agency - INPE","13","Fortaleza (FUNCEME)","Operational"
19.00,"46","Brazilian Space Agency - INPE","14","Natal (Navy Hygrog. Centre)","Operational"
20.00,"46","Brazilian Space Agency - INPE","15","Manaus (SIVAM)","Operational"
21.00,"46","Brazilian Space Agency - INPE","16","Natal (INPE)","Operational"
22.00,"46","Brazilian Space Agency - INPE","17","Boa Vista","Operational"
23.00,"147","National Commission on Space Activities (CONAE) - Argentina","10","Cordoba","Operational"
24.00,"147","National Commission on Space Activities (CONAE) - Argentina","15","Ushuaia","Operational"
25.00,"147","National Commission on Space Activities (CONAE) - Argentina","20","Marambio","Operational"
26.00,"147","National Commission on Space Activities (CONAE) - Argentina","30","Santiago de Chile","Operational"
27.00,"147","National Commission on Space Activities (CONAE) - Argentina","40","Punta Arenas","Operational"
28.00,"147","National Commission on Space Activities (CONAE) - Argentina","50","Base Presidente Frei","Operational"
29.00,"147","National Commission on Space Activities (CONAE) - Argentina","60","Cotopaxi","Operational"
